Name,Followers,Stance,Sex,Handle,Tweets,Responses,std,Max.responses,Min.respos,Ave.Response,Resp.Freq,deleted,closed,protected,suspended,Conv.0,Conv.1,Conv.2,Conv.3,Conv.4,Conv.5,Conv.6,Conv.7,Conv.8,Conv.9,Conv.10,Conv.11,Conv.12,Conv.13,Conv.14,Conv.15,Conv.16,Conv.17,Conv.18,Conv.19,Conv.20,Conv.21,Conv.22,Conv.23,Conv.24,Conv.25,Conv.26,Conv.27,Conv.28,Conv.29,Conv.30,Conv.31,Conv.32,Conv.33,Conv.34,Conv.35,Conv.36,Conv.37,Conv.38,Conv.39,Conv.40,Conv.41,Conv.42,Conv.43,Conv.44,Conv.45,Conv.46,Conv.47,Conv.48,Conv.49,Conv.50,Conv.51,Conv.52,Conv.53,Conv.54,Conv.55,Conv.56,Conv.57,Conv.58,Conv.59,Conv.60,Conv.61,Conv.62,Conv.63,Conv.64,Conv.65,Conv.66,Conv.67,Conv.68,Conv.69,Conv.70,Conv.71,Conv.72,Conv.73,Conv.74
Jim Roberts,204844,liberal,male,nycjim,32,320,18.37,99,0,10.00,1:7,12,9,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amberin Zaman,333479,unknown,female,amberinzaman,20,81,6.05,27,0,4.05,2:5,14,8,3,3,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Bee,472762,liberal,female,iamsambee,7,208,14.22,52,7,29.71,52:1,12,3,3,5,0,5,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Hannity,2900653,conservative,male,seanhannity,55,5421,2.25,99,86,98.56,99:53,369,187,51,118,6,6,10,4,3,7,6,13,12,5,7,2,4,9,4,5,3,5,7,4,2,5,5,8,7,6,16,3,6,5,6,10,6,2,5,8,4,4,3,3,8,4,2,8,3,8,6,4,3,6,2,6,3,1,5,,,,,,,,,,,,,,,,,,,,
Anne Bayefsky,213688,unknown,female,AnneBayefsky,74,518,10.30,54,0,7.00,1:12,27,14,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,3,0,1,0,3,1,1,0,0,0,0,1,
Thomas L. Friedman,819987,liberal,male,tomfriedman,70,2898,33.75,99,0,41.40,99:13,86,39,14,33,0,0,0,0,4,1,0,0,0,3,1,0,0,0,2,0,1,0,1,3,3,1,0,1,8,5,0,7,0,2,2,0,0,1,1,0,0,0,2,0,0,0,1,1,8,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3,2,,,,,
Katrina vanden Heuvel,182109,liberal,female,katrinanation,14,75,7.09,28,0,5.36,0:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,8119895,liberal,male,BernieSanders,33,3152,13.72,99,40,95.52,99:31,151,66,16,66,10,5,2,6,5,1,1,10,1,1,14,2,5,5,2,4,3,3,7,1,2,3,3,4,1,1,5,2,0,1,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Krauthammer,877356,conservative,male,krauthammer,71,5778,28.29,99,7,81.38,99:46,148,97,26,21,1,2,0,9,3,2,2,5,1,1,0,2,0,2,1,0,5,3,6,0,0,0,1,2,2,1,3,1,7,4,1,1,0,2,2,3,1,0,1,1,2,0,0,1,2,4,0,2,0,4,4,0,5,0,0,0,1,3,2,0,2,0,0,0,2,1,1,0,0,4,0,,,,
Glenn Beck,1199113,conservative,male,glennbeck,73,2221,27.90,99,2,30.42,6:6,104,53,9,35,0,0,0,3,2,0,1,0,1,0,0,2,0,1,1,0,0,4,2,1,0,0,0,0,2,1,1,0,1,0,3,1,8,2,0,3,0,0,0,0,0,5,4,0,2,3,5,0,3,0,0,1,0,3,0,2,2,0,1,0,0,0,0,1,3,5,1,0,0,2,5,0,0,,
Ann Curry,1647348,liberal,female,anncurry,59,1332,21.99,99,3,22.58,5:5,17,8,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Ann Coulter,1712783,conservative,female,anncoulter,16,1524,14.52,99,39,95.25,99:15,86,46,17,21,3,3,10,5,9,6,0,1,1,2,5,3,7,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloria Steinem,285860,liberal,female,gloriasteinem,60,465,9.97,61,0,7.75,3:12,33,13,5,13,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,,,,,,,,,,,,,,,
Matt Fuller,84137,liberal,male,MEPFuller,27,545,19.91,99,0,20.19,1:2,12,10,2,0,0,0,0,0,0,1,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megyn Kelly,2406172,conservative,female,megynkelly,41,2661,34.10,99,8,64.90,99:18,136,49,35,50,1,0,0,2,1,2,4,2,0,1,1,1,3,1,5,3,5,1,1,1,3,1,2,0,4,3,7,6,0,5,0,2,1,1,4,3,7,8,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Tapper,1406218,conservative,male,jaketapper,33,2217,29.85,99,14,67.18,99:11,139,65,28,44,5,1,4,7,2,2,4,7,0,3,8,10,3,1,3,0,0,6,4,2,1,3,1,8,6,0,3,1,0,1,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
